"Expressão Original (Pergunta)","Expressão em 1ª Pessoa","Sintoma Cardiovascular","Grau de Risco","Diagnóstico Cardíaco Principal Associado"
"Sente falta de ar ao deitar ou precisa usar mais de um travesseiro?","Sinto falta de ar ao deitar ou preciso usar mais de um travesseiro.","Ortopneia","Alto Risco","Insuficiência Cardíaca Congestiva (ICC)"
"Percebeu inchaço nas pernas ou tornozelos?","Percebi inchaço nas pernas ou tornozelos.","Edema de Membros Inferiores","Médio Risco","Insuficiência Cardíaca Direita"
"Notou palpitações ou batimentos cardíacos irregulares?","Notei palpitações ou batimentos cardíacos irregulares.","Palpitações (Arritmia)","Médio Risco","Fibrilação Atrial (FA) / Taquicardia"
"Sente dor ou pressão no peito ao fazer esforço físico?","Sinto dor ou pressão no peito ao fazer esforço físico.","Angina de Esforço","Alto Risco","Doença Arterial Coronariana (DAC)"
"Já acordou à noite com falta de ar súbita?","Já acordei à noite com falta de ar súbita.","Dispneia Paroxística Noturna (DPN)","Alto Risco","Insuficiência Ventricular Esquerda Aguda"
"Observou coloração azulada nos lábios ou extremidades?","Observei coloração azulada nos lábios ou extremidades (cianose).","Cianose","Alto Risco","Cardiopatia Congênita / Choque Cardiogênico / Insuficiência Respiratória Grave"
"Tem sentido tontura ou desmaios, especialmente ao levantar-se?","Tenho sentido tontura ou desmaios, especialmente ao levantar-me.","Síncope / Hipotensão Postural","Alto Risco","Bloqueios Cardíacos / Estenose Aórtica"
"O(a) senhor(a) percebe pulsação forte ou visível no pescoço?","Percebo pulsação forte ou visível no pescoço.","Estase Jugular","Alto Risco","Insuficiência Cardíaca Descompensada / Tamponamento Cardíaco"
"Sente dor ou desconforto ao inspirar profundamente?","Sinto dor ou desconforto ao inspirar profundamente.","Dor Pleurítica","Médio Risco","Pericardite / Embolia Pulmonar"
"Notou batimentos cardíacos muito acelerados ou lentos?","Notei batimentos cardíacos muito acelerados ou lentos.","Taquicardia / Bradicardia","Médio Risco","Arritmias (Taqui/Bradi)"
"Já percebeu sopros ou ruídos diferentes ao ouvir o próprio coração?","Já percebi sopros ou ruídos diferentes ao ouvir o próprio coração.","Sopros Cardíacos","Médio Risco","Valvulopatia (Ex: Estenose Mitral/Aórtica)"
"Sente dor ou desconforto ao pressionar o tórax?","Sinto dor ou desconforto ao pressionar o tórax.","Dor Torácica à Palpação","Baixo Risco","Dor Musculoesquelética / Costocondrite"
"Observou abaulamentos ou retrações no tórax ao respirar?","Observei abaulamentos ou retrações no tórax ao respirar.","Alteração na Parede Torácica","Baixo Risco","Cardiomegalia Crônica"
"Sente dor nas pernas ao caminhar, que melhora ao repousar?","Sinto dor nas pernas ao caminhar, que melhora ao repousar.","Claudicação Intermitente","Médio Risco","Doença Arterial Obstrutiva Periférica (DAOP)"
"Notou aumento do volume abdominal ou sensação de barriga inchada?","Notei aumento do volume abdominal ou sensação de barriga inchada.","Ascite / Hepatomegalia","Médio Risco","Insuficiência Cardíaca Direita (Avançada)"
"O(a) senhor(a) percebe pulsação no abdome?","Percebo pulsação no abdome.","Pulsação Aórtica","Alto Risco","Aneurisma da Aorta Abdominal (AAA)"
"Já percebeu tremores ou vibrações no peito ao colocar a mão sobre o coração?","Já percebi tremores ou vibrações no peito ao colocar a mão sobre o coração.","Frêmito (Vibração de sopro)","Médio Risco","Valvulopatia Grave"
"Sente dor de cabeça associada a pressão alta?","Sinto dor de cabeça associada a pressão alta.","Cefaleia Hipertensiva","Médio Risco","Crise Hipertensiva"
"Notou suor frio e excessivo de repente?","Notei suor frio e excessivo de repente.","Diaforese (suor frio)","Alto Risco","Infarto Agudo do Miocárdio / Choque Cardiogênico"
"Já percebeu alteração na cor da urina ou diminuição do volume urinário?","Já percebi alteração na cor da urina ou diminuição do volume urinário.","Oligúria / Insuficiência Renal","Alto Risco","Síndrome Cardiorrenal / Choque"
"Sente um cansaço extremo ou fadiga que não melhora com o repouso?","Sinto um cansaço extremo ou fadiga que não melhora com o repouso.","Fadiga Crônica","Médio Risco","Insuficiência Cardíaca / Miocardite"
"Tem tido uma tosse seca e persistente, principalmente à noite?","Tenho tido uma tosse seca e persistente, principalmente à noite.","Tosse Noturna Persistente","Médio Risco","Insuficiência Cardíaca (Congestão Pulmonar)"
